Id,City Name,State Name,latitude,longitude,year,month,day,Pollution Level,AQI Level,Vulnerable Population,Hospital Admissions,Renewable Energy Source,Particulate Matter,Nitrogen Oxides,Sulfur Dioxide,Ozone,Carbon Monoxide
45,Phoenix,Arizona,33.4484,-112.074,2016,1,1,45,86,Elderly,9,Solar power,8,23,5,54,7
46,Tucson,Arizona,32.2226,-110.9747,2016,1,1,32,67,Children,6,Wind power,6,20,3,42,5
47,Mesa,Arizona,33.4152,-111.8315,2016,1,1,42,74,Pregnant women,7,Solar power,7,22,4,48,6
48,Chandler,Arizona,33.3062,-111.8413,2016,1,1,38,71,Elderly,5,Wind power,6,19,3,44,5
49,Glendale,Arizona,33.5387,-112.186,2016,1,1,48,79,Children,8,Solar power,8,24,5,51,7
50,Gilbert,Arizona,33.3528,-111.789,2016,1,1,35,70,Pregnant women,6,Wind power,6,21,4,46,5
51,Scottsdale,Arizona,33.4942,-111.9261,2016,1,1,40,73,Elderly,6,Solar power,7,22,4,49,6
52,Tempe,Arizona,33.4255,-111.94,2016,1,1,37,70,Children,7,Wind power,6,20,4,46,5
53,Peoria,Arizona,33.5806,-112.2374,2016,1,1,46,77,Pregnant women,8,Solar power,8,23,5,52,7
54,Surprise,Arizona,33.6292,-112.3679,2016,1,1,43,75,Elderly,6,Wind power,7,21,4,48,6
55,Avondale,Arizona,33.4356,-112.3496,2016,1,1,51,81,Children,9,Solar power,9,25,6,56,8
56,Goodyear,Arizona,33.4353,-112.3577,2016,1,2,70,105,Elderly,13,Wind power,13,32,8,77,10
57,Tucson,Arizona,32.2217,-110.9265,2016,1,3,63,98,Children,11,Solar power,8,21,7,64,9
58,Scottsdale,Arizona,33.4942,-111.9261,2016,1,4,46,77,Elderly,10,Wind power,6,19,5,54,7
59,Mesa,Arizona,33.4152,-111.8315,2016,1,5,56,86,Children,9,Solar power,10,24,7,69,9
60,Flagstaff,Arizona,35.1981,-111.6513,2016,1,6,36,65,Elderly,7,Wind power,5,16,3,42,6
61,Tempe,Arizona,33.4255,-111.94,2016,1,7,57,88,Children,8,Solar power,12,28,6,66,8
62,Gilbert,Arizona,33.3528,-111.789,2016,1,8,62,94,Elderly,12,Wind power,9,22,7,61,8
63,Phoenix,Arizona,33.4484,-112.074,2016,1,9,75,111,Children,16,Solar power,16,40,9,89,12
64,Yuma,Arizona,32.6928,-114.6277,2016,1,10,78,115,Elderly,15,Wind power,15,35,10,91,13
65,Chandler,Arizona,33.3062,-111.8413,2016,1,11,52,84,Children,9,Solar power,8,23,6,57,8
66,Peoria,Arizona,33.5806,-112.2368,2016,1,12,61,93,Elderly,11,Wind power,9,21,7,62,8
67,Little Rock,Arkansas,34.7465,-92.2896,2016,1,1,50,81,Elderly,13,Wind power,12,30,8,65,11
68,Fayetteville,Arkansas,36.0626,-94.1574,2016,1,1,35,70,Children,4,Solar power,7,20,4,50,6
69,Fort Smith,Arkansas,35.3859,-94.3985,2016,1,1,40,74,Pregnant women,7,Hydroelectric,9,22,6,55,9
70,Jonesboro,Arkansas,35.8423,-90.7043,2016,1,1,45,78,Elderly,9,Wind power,10,28,5,60,10
71,North Little Rock,Arkansas,34.7695,-92.2671,2016,1,1,45,78,Children,6,Solar power,9,26,5,58,9
72,Springdale,Arkansas,36.1867,-94.1288,2016,1,1,30,68,Pregnant women,5,Hydroelectric,6,18,4,40,5
73,Conway,Arkansas,35.0887,-92.4421,2016,1,1,25,62,Elderly,3,Wind power,5,15,3,35,4
74,Rogers,Arkansas,36.332,-94.1185,2016,1,1,35,70,Children,5,Solar power,7,20,4,50,6
75,Pine Bluff,Arkansas,34.2284,-92.0032,2016,1,1,55,80,Pregnant women,10,Hydroelectric,12,34,8,70,13
76,Bentonville,Arkansas,36.3729,-94.2088,2016,1,1,40,74,Elderly,7,Wind power,9,22,6,55,9
77,Hot Springs,Arkansas,34.5037,-93.0552,2016,1,1,45,78,Children,9,Solar power,10,28,5,60,10
78,Benton,Arkansas,34.5645,-92.5868,2016,1,1,30,68,Pregnant women,4,Solar power,8,21,5,57,11
79,Fayetteville,Arkansas,36.0626,-94.1574,2016,1,1,28,63,Elderly,2,Wind power,8,18,3,57,5
80,Conway,Arkansas,35.0887,-92.4421,2016,1,1,35,72,Children,6,Solar power,11,20,5,65,8
81,Bryant,Arkansas,34.6408,-92.4896,2016,1,1,29,64,Pregnant women,3,Wind power,9,22,4,59,7
82,Maumelle,Arkansas,34.8668,-92.3954,2016,1,1,34,71,Elderly,5,Solar power,10,26,5,63,9
83,Jacksonville,Arkansas,34.8669,-92.1125,2016,1,1,37,76,Children,7,Wind power,11,24,5,68,10
84,Russellville,Arkansas,35.2784,-93.1338,2016,1,1,29,64,Pregnant women,5,Solar power,9,20,4,62,8
85,Van Buren,Arkansas,35.4394,-94.3486,2016,1,1,37,76,Elderly,8,Wind power,13,26,6,70,11
86,Cabot,Arkansas,34.9745,-92.0165,2016,1,1,33,70,Children,6,Solar power,10,23,5,64,9
87,Siloam Springs,Arkansas,36.1885,-94.5401,2016,1,1,31,66,Pregnant women,4,Wind power,10,22,4,60,7
88,Greenwood,Arkansas,35.214,-94.2237,2016,1,1,38,77,Elderly,9,Solar power,14,28,6,72,12
89,Osceola,Arkansas,35.7053,-89.9777,2016,1,1,43,87,Children,10,Wind power,16,34,7,80,15
90,Ward,Arkansas,35.0194,-91.9614,2016,1,1,34,71,Pregnant women,5,Solar power,10,23,5,64,9
91,Los Angeles,California,34.0522,-118.2437,2016,1,1,85,135,Children,13,Solar power,12,42,8,96,10
92,San Francisco,California,37.7749,-122.4194,2016,1,1,55,95,Elderly,7,Wind power,7,18,3,68,5
93,San Diego,California,32.7157,-117.1611,2016,1,1,40,70,Pregnant women,3,Solar power,6,21,4,62,6
94,Sacramento,California,38.5816,-121.4944,2016,1,1,30,65,Children,5,Wind power,5,17,2,58,4
95,Fresno,California,36.7468,-119.7726,2016,1,1,65,110,Elderly,9,Solar power,10,45,7,87,8
96,Oakland,California,37.8044,-122.2712,2016,1,1,50,85,Pregnant women,5,Wind power,7,22,4,76,6
97,San Jose,California,37.3382,-121.8863,2016,1,1,35,72,Children,4,Solar power,5,19,3,68,5
98,Anaheim,California,33.8353,-117.9145,2016,1,1,40,70,Elderly,4,Wind power,5,20,3,63,5
99,Santa Barbara,California,34.4208,-119.6982,2016,1,1,25,60,Pregnant women,2,Solar power,4,16,2,52,3
100,Bakersfield,California,35.3733,-119.0187,2016,1,1,70,115,Children,10,Wind power,11,40,8,89,10
101,Huntington Beach,California,33.6603,-117.9992,2016,1,1,30,65,Elderly,3,Solar power,5,18,3,60,4
102,Long Beach,California,33.7701,-118.1937,2016,1,1,45,78,Children,7,Wind power,10,38,5,75,9
103,Los Angeles,California,34.0522,-118.2437,2016,1,1,50,81,Pregnant women,13,Solar power,15,68,10,80,14
104,San Francisco,California,37.7749,-122.4194,2016,1,1,35,71,Elderly,2,Wind power,7,22,3,68,6
105,San Diego,California,32.7157,-117.1611,2016,1,1,25,60,Children,6,Solar power,6,28,4,70,5
106,Sacramento,California,38.5816,-121.4944,2016,1,1,40,73,Pregnant women,9,Wind power,9,32,6,65,8
107,Fresno,California,36.7378,-119.7871,2016,1,1,55,84,Elderly,10,Solar power,13,45,8,95,10
108,Santa Rosa,California,38.4404,-122.7141,2016,1,1,25,60,Children,2,Wind power,6,18,3,58,5
109,Bakersfield,California,35.3733,-119.0187,2016,1,1,65,92,Pregnant women,16,Solar power,20,55,10,102,16
110,Santa Barbara,California,34.4208,-119.6982,2016,1,1,35,71,Elderly,4,Wind power,7,28,3,65,5
111,Oakland,California,37.8044,-122.2711,2016,1,1,30,65,Children,5,Solar power,7,26,5,60,6
112,San Jose,California,37.3382,-121.8863,2016,1,1,25,60,Pregnant women,7,Wind power,5,20,4,62,5
113,Rancho Cucamonga,California,34.1064,-117.5931,2016,1,1,35,70,Children,5,Solar power,7,22,4,55,6
114,Bakersfield,California,35.3733,-119.019,2016,1,1,60,90,Pregnant women,10,Wind power,14,55,12,80,13
115,San Jose,California,37.3382,-121.8863,2016,1,1,20,60,Elderly,2,Solar power,4,15,2,45,3
116,Burbank,California,34.1808,-118.3089,2016,1,1,25,62,Children,4,Solar power,6,18,3,48,5
117,Santa Monica,California,34.0195,-118.4912,2016,1,1,20,60,Pregnant women,1,Solar power,3,10,2,40,3
118,Sacramento,California,38.5816,-121.4944,2016,1,1,30,65,Elderly,3,Solar power,5,20,4,50,4
119,Anaheim,California,33.8366,-117.9143,2016,1,1,28,64,Children,4,Solar power,5,20,4,55,5
120,Pasadena,California,34.1478,-118.1445,2016,1,1,27,63,Pregnant women,2,Wind power,4,16,3,50,4
121,Escondido,California,33.1192,-117.0864,2016,1,1,32,68,Elderly,5,Solar power,7,24,5,58,6
122,Berkeley,California,37.8715,-122.273,2016,1,1,18,55,Children,2,Solar power,3,10,2,40,3
123,Riverside,California,33.9533,-117.3962,2016,1,1,40,72,Pregnant women,7,Wind power,9,28,6,62,8
124,Redding,California,40.5865,-122.3917,2016,1,1,45,78,Children,9,Wind power,10,25,8,45,9
125,Palm Springs,California,33.8303,-116.5453,2016,1,1,32,70,Elderly,6,Solar power,6,22,4,58,6
126,Chula Vista,California,32.6401,-117.0842,2016,1,1,40,72,Pregnant women,7,Solar power,8,23,5,52,7
127,Costa Mesa,California,33.6411,-117.9186,2016,1,1,28,61,Children,5,Wind power,7,19,4,53,5
128,San Francisco,California,37.7749,-122.4194,2016,1,1,20,55,Elderly,2,Solar power,4,11,2,40,3
129,Santa Cruz,California,36.9741,-122.0308,2016,1,1,42,76,Pregnant women,8,Wind power,9,27,6,61,8
130,Oakland,California,37.8044,-122.2711,2016,1,1,30,65,Children,6,Solar power,8,22,5,50,6
131,Sacramento,California,38.5816,-121.4944,2016,1,1,35,71,Elderly,5,Wind power,6,16,4,48,5
132,San Diego,California,32.7157,-117.1611,2016,1,1,38,70,Pregnant women,9,Solar power,10,24,6,55,8
133,Irvine,California,33.6839,-117.7947,2016,1,1,25,60,Children,4,Wind power,6,17,4,51,4
134,Denver,Colorado,39.7392,-104.9903,2016,1,1,45,79,Children,9,Wind power,9,33,5,58,8
135,Colorado Springs,Colorado,38.8339,-104.8214,2016,1,1,32,67,Pregnant women,3,Solar power,6,25,4,57,6
136,Aurora,Colorado,39.7294,-104.8319,2016,1,1,55,87,Elderly,10,Wind power,10,39,6,72,11
137,Fort Collins,Colorado,40.5853,-105.0844,2016,1,1,15,52,Children,1,Solar power,3,15,2,45,3
138,Lakewood,Colorado,39.7047,-105.0814,2016,1,1,40,73,Pregnant women,6,Wind power,7,28,4,65,7
139,Thornton,Colorado,39.868,-104.9719,2016,1,1,37,70,Elderly,4,Solar power,6,20,3,55,6
140,Westminster,Colorado,39.8367,-105.0372,2016,1,1,48,82,Children,8,Wind power,9,34,5,63,9
141,Pueblo,Colorado,38.2544,-104.6091,2016,1,1,23,60,Pregnant women,2,Solar power,4,19,3,52,4
142,Centennial,Colorado,39.5808,-104.8772,2016,1,1,30,65,Elderly,3,Wind power,5,25,4,57,6
143,Boulder,Colorado,40.01499,-105.27055,2016,1,1,22,58,Children,2,Solar power,4,17,3,50,3
144,Greeley,Colorado,40.4233,-104.7091,2016,1,1,18,55,Pregnant women,1,Wind power,3,14,2,42,2
145,Arvada,Colorado,39.8028,-105.0875,2016,1,1,35,69,Children,4,Solar power,8,18,3,58,6
146,Westminster,Colorado,39.8367,-105.0372,2016,1,1,28,63,Elderly,2,Wind power,5,21,3,51,5
147,Broomfield,Colorado,39.9268,-105.0372,2016,1,1,23,60,Children,1,Solar power,4,17,2,47,4
148,Lone Tree,Colorado,39.5296,-104.8867,2016,1,1,17,54,Pregnant women,0,Wind power,2,13,1,40,1
149,Greenwood Village,Colorado,39.6172,-104.9508,2016,1,1,25,60,Elderly,2,Solar power,4,20,3,50,4
150,Frisco,Colorado,39.5734,-106.0973,2016,1,1,14,50,Pregnant women,0,Wind power,1,10,1,34,1
151,Steamboat Springs,Colorado,40.485,-106.8317,2016,1,1,12,47,Children,0,Solar power,2,8,1,30,1
152,Castle Pines,Colorado,39.4667,-104.8923,2016,1,1,18,55,Elderly,1,Wind power,3,13,2,42,2
153,Golden,Colorado,39.7555,-105.2211,2016,1,1,27,62,Children,2,Solar power,5,19,3,49,4
154,Centennial,Colorado,39.5803,-104.8772,2016,1,1,26,61,Pregnant women,2,Wind power,4,20,3,50,4
155,Erie,Colorado,40.0508,-105.0534,2016,1,1,19,56,Elderly,1,Solar power,3,15,2,44,2
156,Breckenridge,Colorado,39.4817,-106.0384,2016,1,1,14,50,Children,0,Wind power,1,10,1,34,1
157,Parker,Colorado,39.5186,-104.7614,2016,1,1,23,60,Pregnant women,1,Solar power,4,17,2,47,4
158,Delta,Colorado,38.7436,-108.0689,2016,1,1,25,63,Children,4,Wind power,6,16,2,48,5
159,Louisville,Colorado,39.9778,-105.1319,2016,1,1,21,58,Elderly,2,Solar power,4,11,1,39,4
160,Loveland,Colorado,40.3978,-105.0749,2016,1,1,13,48,Pregnant women,0,Wind power,2,9,1,35,1
161,Parker,Colorado,39.5186,-104.7614,2016,1,1,27,61,Children,3,Solar power,5,14,1,45,4
162,Wheat Ridge,Colorado,39.7661,-105.0772,2016,1,1,29,63,Elderly,2,Wind power,4,12,2,40,4
163,Windsor,Colorado,40.4774,-104.9018,2016,1,1,15,50,Pregnant women,0,Solar power,2,8,1,31,2
164,Woodland Park,Colorado,38.9934,-105.0569,2016,1,1,19,57,Children,2,Wind power,3,11,1,42,3
165,Eagle,Colorado,39.6314,-106.8166,2016,1,1,11,43,Elderly,0,Solar power,2,6,1,26,1
166,Edgewater,Colorado,39.7526,-105.0539,2016,1,1,30,65,Pregnant women,3,Wind power,5,16,2,50,5
167,Estes Park,Colorado,40.3772,-105.5217,2016,1,1,16,51,Children,1,Solar power,3,9,1,37,2
168,Bridgeport,Connecticut,41.1865,-73.1952,2016,1,1,23,59,Children,4,Wind power,5,15,3,50,5
169,New Haven,Connecticut,41.3083,-72.9279,2016,1,1,32,68,Elderly,6,Solar power,6,19,4,57,6
170,Hartford,Connecticut,41.7658,-72.6734,2016,1,1,17,52,Pregnant women,2,Wind power,4,12,2,40,4
171,Stamford,Connecticut,41.0534,-73.5387,2016,1,1,28,63,Children,5,Solar power,7,20,4,55,7
172,Waterbury,Connecticut,41.5582,-73.0515,2016,1,1,30,64,Elderly,4,Wind power,6,18,3,52,6
173,Norwalk,Connecticut,41.1176,-73.4082,2016,1,1,24,60,Pregnant women,3,Solar power,5,16,3,50,5
174,Danbury,Connecticut,41.3948,-73.454,2016,1,1,20,57,Children,3,Wind power,4,14,2,47,4
175,New Britain,Connecticut,41.6612,-72.7795,2016,1,1,19,56,Elderly,2,Solar power,5,14,2,43,5
176,West Hartford,Connecticut,41.7621,-72.742,2016,1,1,15,50,Pregnant women,1,Wind power,3,12,1,39,3
177,Bristol,Connecticut,41.6718,-72.9493,2016,1,1,20,57,Children,3,Solar power,4,14,2,45,4
178,Meriden,Connecticut,41.5382,-72.807,2016,1,1,22,58,Elderly,3,Wind power,4,15,2,47,4
179,Bristol,Connecticut,41.6718,-72.9493,2016,1,1,20,56,Elderly,2,Solar power,3,11,2,51,3
180,Hartford,Connecticut,41.7658,-72.6734,2016,1,1,22,58,Children,4,Wind power,5,15,3,49,5
181,New Britain,Connecticut,41.6612,-72.7795,2016,1,1,25,61,Pregnant women,5,Hydroelectric,6,20,4,52,6
182,West Hartford,Connecticut,41.7621,-72.742,2016,1,1,18,54,Elderly,1,Solar power,2,10,2,50,2
183,Waterbury,Connecticut,41.5582,-73.0515,2016,1,1,28,65,Children,6,Wind power,7,22,4,57,7
184,Bridgeport,Connecticut,41.1792,-73.1894,2016,1,1,32,68,Pregnant women,7,Hydroelectric,8,24,5,58,8
185,Stamford,Connecticut,41.0534,-73.5387,2016,1,1,23,59,Elderly,3,Solar power,4,16,3,53,4
186,Norwalk,Connecticut,41.1176,-73.4082,2016,1,1,30,66,Children,5,Wind power,6,18,4,55,6
187,Danbury,Connecticut,41.3948,-73.454,2016,1,1,27,64,Pregnant women,4,Hydroelectric,5,19,4,56,5
188,New Haven,Connecticut,41.3083,-72.9279,2016,1,1,29,65,Elderly,6,Solar power,7,21,4,57,7
189,Wilmington,Delaware,39.7468,-75.5467,2016,1,1,25,62,Children,4,Solar power,8,12,3,50,5
190,Dover,Delaware,39.1582,-75.5244,2016,1,1,27,64,Elderly,2,Wind power,7,10,4,54,4
191,Newark,Delaware,39.6837,-75.7497,2016,1,1,23,60,Pregnant women,1,Solar power,6,8,2,46,3
192,Milford,Delaware,38.9108,-75.4274,2016,1,1,18,55,Children,0,Wind power,5,6,2,41,2
193,Seaford,Delaware,38.6483,-75.6114,2016,1,1,21,58,Elderly,2,Solar power,6,9,3,47,3
194,Georgetown,Delaware,38.6906,-75.3856,2016,1,1,19,56,Pregnant women,0,Wind power,5,7,2,43,2
195,Elsmere,Delaware,39.7383,-75.6051,2016,1,1,27,64,Children,3,Solar power,8,13,4,52,4
196,Smyrna,Delaware,39.2957,-75.6078,2016,1,1,24,61,Elderly,1,Wind power,6,9,3,48,3
197,New Castle,Delaware,39.662,-75.5668,2016,1,1,22,59,Pregnant women,0,Solar power,5,8,2,45,2
198,Middletown,Delaware,39.4496,-75.7163,2016,1,1,21,58,Children,2,Wind power,6,8,3,44,3
199,Clayton,Delaware,39.289,-75.6446,2016,1,1,25,62,Elderly,1,Solar power,7,11,4,51,4
200,Wilmington,Delaware,39.7391,-75.5398,2016,1,1,40,73,Children,5,Solar power,6,21,4,57,6
201,Newark,Delaware,39.6837,-75.7497,2016,1,1,30,68,Elderly,3,Wind power,5,19,3,55,5
202,Dover,Delaware,39.1582,-75.5244,2016,1,1,20,60,Pregnant women,2,Solar power,3,15,2,50,3
203,Middletown,Delaware,39.4496,-75.7164,2016,1,1,18,55,Children,1,Wind power,3,14,2,42,2
204,Milford,Delaware,38.9132,-75.4278,2016,1,1,15,50,Elderly,0,Solar power,2,11,2,40,1
205,Smyrna,Delaware,39.299,-75.6045,2016,1,1,22,62,Pregnant women,1,Wind power,4,17,3,52,4
206,Georgetown,Delaware,38.6907,-75.3854,2016,1,1,10,45,Children,0,Solar power,1,8,1,35,1
207,Seaford,Delaware,38.6412,-75.6118,2016,1,1,13,48,Elderly,0,Wind power,2,10,1,38,1
208,Lewes,Delaware,38.7746,-75.1393,2016,1,1,20,60,Pregnant women,2,Solar power,3,15,2,50,3
209,Rehoboth Beach,Delaware,38.7209,-75.076,2016,1,1,18,55,Children,1,Wind power,3,14,2,42,2
210,Bethany Beach,Delaware,38.5393,-75.057,2016,1,1,15,50,Elderly,0,Solar power,2,11,2,40,1
211,Dover,Delaware,39.1582,-75.5244,2016,1,1,25,63,Children,2,Solar power,6,22,2,59,3
212,Newark,Delaware,39.6766,-75.7573,2016,1,1,18,55,Elderly,1,Wind power,4,20,3,52,2
213,Wilmington,Delaware,39.7391,-75.5398,2016,1,1,30,65,Pregnant women,3,Solar power,7,25,4,61,4
214,Milford,Delaware,38.9126,-75.4279,2016,1,1,20,60,Children,1,Wind power,5,18,3,56,3
215,Georgetown,Delaware,38.6907,-75.3851,2016,1,1,22,57,Elderly,1,Solar power,4,19,2,58,2
216,Seaford,Delaware,38.6412,-75.6115,2016,1,1,18,55,Pregnant women,1,Wind power,3,17,2,53,2
217,Middletown,Delaware,39.4481,-75.7163,2016,1,1,28,62,Children,2,Solar power,6,23,4,59,3
218,Laurel,Delaware,38.5562,-75.5713,2016,1,1,20,60,Elderly,1,Wind power,5,19,2,57,2
219,Lewes,Delaware,38.7748,-75.1394,2016,1,1,16,52,Pregnant women,0,Solar power,3,15,2,49,1
220,Clayton,Delaware,39.2901,-75.6344,2016,1,1,25,63,Children,1,Wind power,4,20,3,56,3
221,Jacksonville,Florida,30.3322,-81.6557,2016,1,1,42,72,Children,7,Solar power,12,28,7,58,8
222,Miami,Florida,25.7617,-80.1918,2016,1,1,51,84,Elderly,5,Wind power,15,35,10,65,12
223,Tampa,Florida,27.9506,-82.4572,2016,1,1,36,72,Pregnant women,2,Solar power,9,22,5,48,6
224,Orlando,Florida,28.5383,-81.3792,2016,1,1,39,75,Children,4,Wind power,10,25,6,55,7
225,St. Petersburg,Florida,27.7676,-82.6403,2016,1,1,28,62,Elderly,3,Solar power,7,20,3,42,4
226,Hialeah,Florida,25.8576,-80.2781,2016,1,1,44,74,Pregnant women,2,Wind power,11,28,8,60,7
227,Tallahassee,Florida,30.4383,-84.2807,2016,1,1,34,68,Children,3,Solar power,8,22,5,52,5
228,Port St. Lucie,Florida,27.273,-80.3582,2016,1,1,22,55,Elderly,1,Wind power,5,14,2,35,2
229,Cape Coral,Florida,26.5629,-81.9495,2016,1,1,30,65,Pregnant women,1,Solar power,6,18,4,44,4
230,Fort Lauderdale,Florida,26.1224,-80.1373,2016,1,1,48,79,Children,5,Wind power,13,31,9,62,9
231,Pembroke Pines,Florida,26.0078,-80.2963,2016,1,1,37,73,Elderly,4,Solar power,10,24,6,53,6
232,Hollywood,Florida,26.0112,-80.1495,2016,1,1,46,76,Pregnant women,3,Wind power,12,29,8,58,5
233,Sarasota,Florida,27.3364,-82.5307,2016,1,1,38,73,Children,2,Solar power,6,22,4,68,5
234,Largo,Florida,27.9095,-82.7873,2016,1,1,28,62,Elderly,1,Wind power,5,12,3,56,3
235,Port Orange,Florida,29.1383,-80.9956,2016,1,1,25,58,Pregnant women,1,Solar power,4,13,2,48,2
236,New Smyrna Beach,Florida,29.0258,-80.9269,2016,1,1,19,55,Children,1,Solar power,3,10,2,42,1
237,Fernandina Beach,Florida,30.6696,-81.4626,2016,1,1,30,67,Elderly,2,Wind power,5,15,3,52,3
238,Lake Worth,Florida,26.6195,-80.0566,2016,1,1,32,63,Pregnant women,3,Solar power,5,17,3,58,4
239,Stuart,Florida,27.1975,-80.2528,2016,1,1,28,62,Children,2,Wind power,4,14,3,53,3
240,North Miami Beach,Florida,25.9331,-80.1625,2016,1,1,38,73,Elderly,3,Solar power,7,23,4,68,5
241,Key West,Florida,24.5551,-81.7812,2016,1,1,24,57,Children,0,Wind power,3,10,2,41,1
242,Boca Raton,Florida,26.3683,-80.1289,2016,1,1,29,63,Pregnant women,2,Solar power,5,16,3,55,4
243,Tallahassee,Florida,30.4383,-84.2807,2016,1,1,22,57,Children,2,Solar power,4,15,2,52,3
244,Sarasota,Florida,27.3364,-82.5307,2016,1,1,38,75,Elderly,4,Wind power,6,22,3,68,5
245,Ocala,Florida,29.1872,-82.1401,2016,1,1,31,69,Pregnant women,1,Solar power,5,20,3,60,4
